date,flow_m3s
2019-04-01,131.23666666666665
2019-05-01,142.41935483870967
2019-06-01,150.39333333333335
2019-07-01,85.95483870967742
2019-08-01,88.8967741935484
2019-09-01,49.18666666666666
2019-10-01,26.30322580645161
2019-11-01,16.665
2019-12-01,19.98709677419355
2020-01-01,17.603225806451615
2020-02-01,21.655172413793103
2020-03-01,21.27741935483871
2020-04-01,75.37666666666668
2020-05-01,81.87
2020-06-01,
2020-07-01,108.04838709677419
2020-08-01,144.98387096774192
2020-09-01,121.53999999999999
2020-10-01,149.958064516129
2020-11-01,148.75666666666666
2020-12-01,116.50645161290322
2021-01-01,23.91818181818182
2021-02-01,19.25714285714286
2021-03-01,20.629032258064516
2021-04-01,110.86
2021-05-01,114.14838709677419
2021-06-01,117.9
2021-07-01,52.048148148148144
2021-08-01,40.041935483870965
2021-09-01,37.29
2021-10-01,15.838709677419354
2021-11-01,11.205666666666668
2021-12-01,12.58516129032258
2022-01-01,23.274193548387096
2022-02-01,24.339285714285715
2022-03-01,35.07096774193548
2022-04-01,53.583333333333336
2022-05-01,70.97096774193548
2022-06-01,135.18
2022-07-01,165.7516129032258
2022-08-01,130.48709677419353
2022-09-01,87.33999999999999
2022-10-01,96.25806451612904
2022-11-01,78.94333333333334
2022-12-01,55.89
